language;task;method;clean-subset-size;mean-f1;std-error;seeds;f1-values
Hausa;topic;XLM-RoBERTa full-dev-set;500;0.8132831099374724;0.002495761941199693;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8152931745140541, 0.8123001817573303, 0.8129208374840342, 0.8111288661300541, 0.8183786377816802, 0.8128370225126037, 0.8334191835101258, 0.8061193844862276, 0.8053456057867404, 0.8050882054118732]
Hausa;topic;XLM-RoBERTa full-dev-set;700;0.8265629810483734;0.004143466876268014;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8170466674829361, 0.8421533728906991, 0.8148646249639253, 0.8284353170430249, 0.8410352127142862, 0.8349105328203792, 0.8423799482118045, 0.8114125791066633, 0.8046688825430286, 0.8287226727069881]
Hausa;topic;XLM-RoBERTa full-dev-set;900;0.8313546293958259;0.0027097675167499532;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8369860949775937, 0.8294789833887278, 0.821344324677248, 0.8343102367121784, 0.8471704838672149, 0.8320343038947134, 0.8304705096875169, 0.8331775734276099, 0.8134356959737834, 0.8351380873516727]
Hausa;topic;XLM-RoBERTa full-dev-set;2044;0.8628648448704833;0.002820556350935052;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.8621242903265416, 0.8812397442782905, 0.8635523211311544, 0.8605634195399187, 0.85476495008867, 0.869759887705536, 0.8597435989374684, 0.8565522006140445, 0.871886759363278, 0.8484612767199312]
Hausa;topic;XLM-RoBERTa + en-data (zero-shot);0;0.09783909946688026;0;[12345];[0.09783909946688026]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);10;0.2248054140469927;0.006277663134057271;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.20920423152078704, 0.21192651489957776, 0.20540579667946837, 0.25787229867500255, 0.2539423874333563, 0.20938945857144842, 0.22640551882843038, 0.20171921959081446, 0.2264805543821174, 0.24570815988892455]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);100;0.3007099129717011;0.01959569256246281;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.24072800103123312, 0.32120270741173007, 0.32306640901734324, 0.34724944747863284, 0.30909054488736043, 0.3707471658130647, 0.32757615841545673, 0.30912439390966734, 0.14053450932469047, 0.3177797924278318]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);300;0.46401899758492043;0.01724787910058302;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5501819339053114, 0.4711447150024804, 0.401248619932225, 0.43397388310179275, 0.4932161665411819, 0.5004049509194208, 0.4278556600378071, 0.3610156857712667, 0.5188064650924201, 0.4823418955452985]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);500;0.6318211641563476;0.0074097577190397335;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6450999529029569, 0.6714860623820258, 0.5871977687958927, 0.6207822247644978, 0.6379166446805069, 0.5991561970734094, 0.628382683213381, 0.6476355539144948, 0.6479789082133944, 0.6325756456229162]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);700;0.71987554250452;0.007331467370655098;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7049086126087187, 0.7388343236967078, 0.6842994612952773, 0.7622863060654991, 0.7469547834616415, 0.7038869578665718, 0.7227110127880624, 0.7302697414754789, 0.7038213784683726, 0.7007828473188707]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);900;0.7693833019880288;0.00318971529783253;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7903751062175731, 0.763912405504652, 0.7768400917171794, 0.7549549183137241, 0.7749871117913624, 0.7582689812947127, 0.7735906581828392, 0.761340940476947, 0.7745474625543076, 0.765015343826991]
Hausa;topic;XLM-RoBERTa + en-data (few-shot);2044;0.8284589003420015;0.005048781897718765;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.835120833810792, 0.8540361169860295, 0.8216245657090229, 0.8435401842790266, 0.8257425122981149, 0.7993179293623387, 0.8476083258155875, 0.8249661145471463, 0.8211082034387401, 0.8115242171732165]
Hausa;topic;XLM-RoBERTa + distant;10;0.2670849200306781;0.013094480623882436;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.326223635283015, 0.30305457185750784, 0.34071369795528667, 0.21378162028140568, 0.24244319658744903, 0.24792146757146574, 0.2712845781261055, 0.2570200477527036, 0.25466159951288136, 0.2137447853789603]
Hausa;topic;XLM-RoBERTa + distant;100;0.5964920184827391;0.011483225741327369;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.602819939256577, 0.5987238320493926, 0.5872388810994736, 0.6714669123315344, 0.6418247249751016, 0.5811826022570298, 0.5820139129998286, 0.5435971516899608, 0.5510476570727986, 0.605004571095695]
Hausa;topic;XLM-RoBERTa + distant;300;0.674548004636828;0.008039090627937572;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.6660826960968235, 0.6091631883231408, 0.6917602297234757, 0.6898820489961696, 0.6724176424699105, 0.6740543147959336, 'removed-converged-only-majority-classes-on-dev', 0.6765275475133709, 0.6757021705880525, 0.714211037202244, 0.6756791706591583]
Hausa;topic;XLM-RoBERTa + distant;500;0.7031526615706802;0.010636426875475809;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7480627175876344, 0.7369171219969941, 0.6568290446415697, 'removed-converged-only-majority-classes-on-dev', 0.6853013594679487, 0.7355343513817304, 0.6670544805841193, 0.7271933874365869, 0.6536766377811978, 0.7003045257508987, 0.7206529890781228]
Hausa;topic;XLM-RoBERTa + distant;700;0.7237782285574073;0.0037698271727154443;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.728226959217411, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.7313542983319454, 0.7082969348022388, 0.7242149909551439, 0.7408741132775174, 0.7059687329846621, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.7325572369442719, 0.7375627359500231, 'removed-converged-only-majority-classes-on-dev', 0.7193777038509979, 'removed-converged-only-majority-classes-on-dev', 0.7093485792598607]
Hausa;topic;XLM-RoBERTa + distant;900;0.7270301427006386;0.007470167652449962;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7260977718895092, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.7014885963259796, 0.7692578527379123, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.7058182933991984, 0.7587645350514874, 0.7280962410097606, 0.7520811110548545, 'removed-converged-only-majority-classes-on-dev', 0.7099205182355783, 0.7178442437313504, 0.7009322635707554]
Hausa;topic;XLM-RoBERTa + distant;2044;0.7443906899378766;0.06606334924009967;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.8120007926585627, 0.8214083265342093, 0.8076345837794958, 0.821484642510538, 0.8007105397159782, 0.8187096509408279, 0.11856133233297211, 0.8215651654345008, 0.7905963916111411, 0.8312354738605405]
Hausa;topic;XLM-RoBERTa + distant + cm;10;0.28715667017341034;0.01658010991840077;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.27006792505517674, 0.36149567769889945, 0.33370090240233, 0.24543581246355325, 0.2344177624133177, 0.22842131588596928, 0.3715439868480051, 0.269272788010654, 0.2341859229405611, 0.32302460801563737]
Hausa;topic;XLM-RoBERTa + distant + cm;100;0.6322584373828593;0.011400222896792747;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.6011457884493736, 0.6247290644100023, 0.6296244644653136, 0.6230188189055547, 0.6586024967148719, 0.6936657863476995, 0.6342404157825063, 0.5513834035941079, 0.6541539547025427, 0.6520201804566209]
Hausa;topic;XLM-RoBERTa + distant + cm;300;0.6916702656361495;0.00684310400458755;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7206632204614929, 0.6793737972270747, 0.6905071640579193, 0.6972274043674699, 0.6521504081829, 0.7014078687468258, 0.6740092467101197, 0.6755447110985984, 0.7291573371479313, 0.6966614983611632]
Hausa;topic;XLM-RoBERTa + distant + cm;500;0.7163040791989643;0.006412688248404235;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.672450195073831, 0.7328335141116444, 0.7005303124880183, 0.7182963218465765, 0.7561026191682054, 0.7177561780763346, 0.7118332567637159, 0.7119833203220436, 0.7199145232412973, 0.7213405508979759]
